"","Country","Year","Age","D","N"
"1","Chile",1992,0,11456.05,826024.3
"2","Chile",1992,1,2234.01,3405490.65
"3","Chile",1992,5,1068.01,3958640.01
"4","Chile",1992,10,1076,3713839.54
"5","Chile",1992,15,2303.01,3602735.51
"6","Chile",1992,20,3544.03,3639096.37
"7","Chile",1992,25,4173.02,3680837.31
"8","Chile",1992,30,4427.04,3508821.56
"9","Chile",1992,35,4990.04,2926058.9
"10","Chile",1992,40,5753.02,2411164.81
"11","Chile",1992,45,7643.04,1998338.83
"12","Chile",1992,50,9777.04,1709894.54
"13","Chile",1992,55,12271.06,1370766.8
"14","Chile",1992,60,18176.09,1273442.62
"15","Chile",1992,65,21884.1,1006391.57
"16","Chile",1992,70,25048.1,696230.43
"17","Chile",1992,75,29010.12,508470.42
"18","Chile",1992,80,28249.11,325506.49
"19","Chile",1992,85,20070.07,147278.86
"20","Chile",1992,90,9600.02,47021.84
"21","Chile",1992,95,2581.01,8883.04
"22","Chile",1992,100,410,1103.63
"23","Chile",1992,105,47,124.07
"24","Chile",1992,110,5,14.57
"25","Chile",1995,0,14381,1295428.26
"26","Chile",1995,1,2901,5342884.68
"27","Chile",1995,5,1753,7074171.61
"28","Chile",1995,10,1709,6449492.08
"29","Chile",1995,15,3499,6062646.55
"30","Chile",1995,20,5559,6015923.51
"31","Chile",1995,25,6326,6036991.77
"32","Chile",1995,30,7739,6129864.16
"33","Chile",1995,35,8884,5681177.47
"34","Chile",1995,40,10639,4632476.1
"35","Chile",1995,45,13339,3840613.83
"36","Chile",1995,50,17597,3180780.92
"37","Chile",1995,55,22459,2651225.81
"38","Chile",1995,60,28260,2159104.83
"39","Chile",1995,65,39803,1926616.49
"40","Chile",1995,70,45163,1373337.52
"41","Chile",1995,75,48514,927447.42
"42","Chile",1995,80,50789,613916.77
"43","Chile",1995,85,40498,303205.62
"44","Chile",1995,90,20973,100801
"45","Chile",1995,95,6440,21367.13
"46","Chile",1995,100,1031,2515.89
"47","Chile",1995,105,103,269.73
"48","Chile",1995,110,8,39.19
"49","Chile",2000,0,10435,1168749.39
"50","Chile",2000,1,2165,4736095.73
"51","Chile",2000,5,1342,6578527.5
"52","Chile",2000,10,1625,7081613.97
"53","Chile",2000,15,3381,6457821.66
"54","Chile",2000,20,4941,6018878.19
"55","Chile",2000,25,5608,5970307.96
"56","Chile",2000,30,6633,6008399.36
"57","Chile",2000,35,8600,6134671.77
"58","Chile",2000,40,11177,5669293.18
"59","Chile",2000,45,13917,4565349.68
"60","Chile",2000,50,17739,3788356.01
"61","Chile",2000,55,23227,3074447.13
"62","Chile",2000,60,29502,2536879.72
"63","Chile",2000,65,36714,2014227.07
"64","Chile",2000,70,50051,1696585.55
"65","Chile",2000,75,52479,1126752.02
"66","Chile",2000,80,51563,692663.86
"67","Chile",2000,85,44754,371606.96
"68","Chile",2000,90,25900,134915.01
"69","Chile",2000,95,8275,28119.65
"70","Chile",2000,100,1413,3345.99
"71","Chile",2000,105,111,255.22
"72","Chile",2000,110,22,46.87
"73","Chile",2005,0,9705,1182880.47
"74","Chile",2005,1,1616,4600664.17
"75","Chile",2005,5,1060,5952218.26
"76","Chile",2005,10,1357,6683383.9
"77","Chile",2005,15,3734,7156169.17
"78","Chile",2005,20,5010,6490524.37
"79","Chile",2005,25,5258,6029964.48
"80","Chile",2005,30,6289,5969960.11
"81","Chile",2005,35,7957,5966245.66
"82","Chile",2005,40,11323,6077034.56
"83","Chile",2005,45,15235,5568116.96
"84","Chile",2005,50,19037,4501962.2
"85","Chile",2005,55,24216,3675056.62
"86","Chile",2005,60,32049,2963398.71
"87","Chile",2005,65,39547,2370892.42
"88","Chile",2005,70,46952,1798987.33
"89","Chile",2005,75,60683,1394469.87
"90","Chile",2005,80,60046,820141.49
"91","Chile",2005,85,49834,434024.45
"92","Chile",2005,90,32241,175429.75
"93","Chile",2005,95,11533,41891.54
"94","Chile",2005,100,2020,4974.96
"95","Chile",2005,105,163,399.14
"96","Chile",2005,110,9,36.73
"97","Chile",2010,0,9099.15,1226751.58
"98","Chile",2010,1,1455.02,4854640.49
"99","Chile",2010,5,860.01,5782382.4
"100","Chile",2010,10,1124.02,6085329.62
"101","Chile",2010,15,3228.03,6796301.74
"102","Chile",2010,20,4900.07,7231975.8
"103","Chile",2010,25,5066.08,6524907.47
"104","Chile",2010,30,5641.11,6047873.96
"105","Chile",2010,35,7275.14,5967287.56
"106","Chile",2010,40,10454.17,5914103.04
"107","Chile",2010,45,15606.27,5989855.97
"108","Chile",2010,50,21342.38,5436323.12
"109","Chile",2010,55,26884.48,4405407.85
"110","Chile",2010,60,33907.6,3515295.4
"111","Chile",2010,65,43627.76,2807089.08
"112","Chile",2010,70,51787.91,2142699.5
"113","Chile",2010,75,60269.94,1530141.63
"114","Chile",2010,80,71823.07,993097.62
"115","Chile",2010,85,61229.95,512543.02
"116","Chile",2010,90,38668.54,207515.2
"117","Chile",2010,95,15735.2,55574.2
"118","Chile",2010,100,3084.02,7790.4
"119","Chile",2010,105,266,561.02
"120","Chile",2010,110,20,67.63
"121","Chile",2015,0,7714.07,1136368.29
"122","Chile",2015,1,1243,4717362.79
"123","Chile",2015,5,799.03,6024941.07
"124","Chile",2015,10,936.01,5790952.44
"125","Chile",2015,15,2769.05,6192403.69
"126","Chile",2015,20,4383.08,6879020.15
"127","Chile",2015,25,5495.09,7283956.06
"128","Chile",2015,30,5881.1,6547618.93
"129","Chile",2015,35,7124.13,6052233.49
"130","Chile",2015,40,9754.12,5949172.09
"131","Chile",2015,45,13962.21,5846887.44
"132","Chile",2015,50,21335.29,5879825.33
"133","Chile",2015,55,29067.41,5280334.92
"134","Chile",2015,60,36732.49,4261018.39
"135","Chile",2015,65,45295.6,3306388.33
"136","Chile",2015,70,56272.67,2584297.81
"137","Chile",2015,75,64196.76,1847938.6
"138","Chile",2015,80,70605.77,1204053.35
"139","Chile",2015,85,74124.67,630732.51
"140","Chile",2015,90,48619.36,233008.63
"141","Chile",2015,95,19240.11,63106.63
"142","Chile",2015,100,4228.02,9839.07
"143","Chile",2015,105,393,829.99
"144","Chile",2015,110,23,91.18
"145","Japon",1947,0,539966.85,7437608.14
"146","Japon",1947,1,292576.44,22539947.37
"147","Japon",1947,5,74164.43,27672690.05
"148","Japon",1947,10,41769.7,26098217.04
"149","Japon",1947,15,91390.26,24876147.96
"150","Japon",1947,20,150437.07,21643654.77
"151","Japon",1947,25,121080.53,16889149.96
"152","Japon",1947,30,103541.67,15282827.68
"153","Japon",1947,35,102976.45,14652314.77
"154","Japon",1947,40,100762.72,12703149.78
"155","Japon",1947,45,113515.27,11676404.35
"156","Japon",1947,50,129662.11,9589430.36
"157","Japon",1947,55,154853.08,7955655.05
"158","Japon",1947,60,191992.58,6458866.96
"159","Japon",1947,65,232459.14,5184786.77
"160","Japon",1947,70,241205.19,3579357.83
"161","Japon",1947,75,177503.14,1754744.18
"162","Japon",1947,80,117660.62,749831.1
"163","Japon",1947,85,44151.36,189593.83
"164","Japon",1947,90,12528.93,38196.42
"165","Japon",1947,95,1751.23,3958.15
"166","Japon",1947,100,128.13,248.73
"167","Japon",1947,105,16,25.17
"168","Japon",1947,110,16,22.33
"169","Japon",1950,0,533429.59,10246717.19
"170","Japon",1950,1,313526.2,44210212.36
"171","Japon",1950,5,82641.02,47728004.2
"172","Japon",1950,10,41198.08,44861440.5
"173","Japon",1950,15,76455.88,42951546.83
"174","Japon",1950,20,128495.26,39731442.33
