"","Country","Year","Age","D","N"
"1","Japon",2000,0,17439.9,5733427.04
"2","Japon",2000,1,6348.31,23364028.27
"3","Japon",2000,5,3452.78,29777435.66
"4","Japon",2000,10,3295.61,31350124.87
"5","Japon",2000,15,10981.6,35607063.54
"6","Japon",2000,20,17727.49,39194399.58
"7","Japon",2000,25,22728.04,45895574.28
"8","Japon",2000,30,29047.7,45745242.44
"9","Japon",2000,35,35732.2,40447339.75
"10","Japon",2000,40,51316.81,38503383.78
"11","Japon",2000,45,87917.76,41311293.81
"12","Japon",2000,50,176394.58,51204065.82
"13","Japon",2000,55,225101.23,44195507.56
"14","Japon",2000,60,299731.51,40389939.71
"15","Japon",2000,65,428154.46,36355787.89
"16","Japon",2000,70,587438.84,30829451.99
"17","Japon",2000,75,708466.91,22996242.81
"18","Japon",2000,80,756462.35,14136790.38
"19","Japon",2000,85,764519.07,8029043.91
"20","Japon",2000,90,520170.95,3252875.18
"21","Japon",2000,95,177296.4,702665.68
"22","Japon",2000,100,30587.84,81608.18
"23","Japon",2000,105,2029.83,3994.92
"24","Japon",2000,110,50,88.67
"25","Japon",2010,0,11494.89,5159924.37
"26","Japon",2010,1,4551.21,20897424.42
"27","Japon",2010,5,2643.4,27085693.81
"28","Japon",2010,10,2762.76,29147766.95
"29","Japon",2010,15,7016.5,29965883.52
"30","Japon",2010,20,12959.52,30605770.15
"31","Japon",2010,25,16118.67,34415063.72
"32","Japon",2010,30,21660.56,38872159.76
"33","Japon",2010,35,34698.37,46227617.39
"34","Japon",2010,40,51976.22,45998941.09
"35","Japon",2010,45,71252.1,40407984.17
"36","Japon",2010,50,105826.32,38076037.66
"37","Japon",2010,55,171982.17,40438644.26
"38","Japon",2010,60,326533.95,49530400.91
"39","Japon",2010,65,413734.97,41790839.56
"40","Japon",2010,70,562136.01,36662539.07
"41","Japon",2010,75,814574.72,30733373.79
"42","Japon",2010,80,1099876.88,22864856.16
"43","Japon",2010,85,1160436.19,13481582.81
"44","Japon",2010,90,849436.6,5575076.19
"45","Japon",2010,95,408677.29,1583333.59
"46","Japon",2010,100,95588.56,238117.03
"47","Japon",2010,105,7719.88,13752.22
"48","Japon",2010,110,252.15,386.51
"49","Japon",2015,0,9021.75,4718439.15
"50","Japon",2015,1,3474.89,19586471.85
"51","Japon",2015,5,1938.86,26003020.28
"52","Japon",2015,10,2240.35,27224391.37
"53","Japon",2015,15,5876.69,29378215.63
"54","Japon",2015,20,10274.59,29719551.18
"55","Japon",2015,25,11663.42,30556252.53
"56","Japon",2015,30,16277.52,34581293.67
"57","Japon",2015,35,24473.08,39018605.21
"58","Japon",2015,40,44074.54,46245023.19
"59","Japon",2015,45,69620.33,45872224.94
"60","Japon",2015,50,97459.31,40104301.51
"61","Japon",2015,55,139605.94,37582627.39
"62","Japon",2015,60,231251.11,39598047.28
"63","Japon",2015,65,440880.77,47760550.91
"64","Japon",2015,70,564753.98,39341966.14
"65","Japon",2015,75,785633.62,33284757.36
"66","Japon",2015,80,1121626.19,25916566.67
"67","Japon",2015,85,1344497.96,16715515.72
"68","Japon",2015,90,1111466.74,7666462.5
"69","Japon",2015,95,517148.36,2084753.54
"70","Japon",2015,100,124292.33,312365.29
"71","Japon",2015,105,11860.5,21093.59
"72","Japon",2015,110,424.21,589.53
"73","Polonia",2000,0,13445,1831795.63
"74","Polonia",2000,1,2235,7763882.95
"75","Polonia",2000,5,1942,11437257.8
"76","Polonia",2000,10,2632,13822500.64
"77","Polonia",2000,15,7884,16129004.22
"78","Polonia",2000,20,11694,16080490.13
"79","Polonia",2000,25,12006,14675546.84
"80","Polonia",2000,30,14191,12582257.51
"81","Polonia",2000,35,22319,12448128.87
"82","Polonia",2000,40,44561,14634843.02
"83","Polonia",2000,45,77348,15706633.74
"84","Polonia",2000,50,104613,13825491.84
