operativo,id,nhogar,miembro,p2,p3,p3b,p4,e2,e6a,e12a,e13,e16a,e_aesc,e_nivel,retro,fexp
eder2019,1,1,1,2,1952,67,1,2,0,13,2,0,12,6,1,877
eder2019,2,1,1,2,1968,50,1,2,0,14,1,0,19,7,1,399
eder2019,2,1,2,1,1964,54,2,2,0,13,2,0,12,6,0,0
eder2019,2,1,3,1,2013,6,3,1,3,0,0,0,0,2,0,0
eder2019,3,1,1,1,1980,38,1,2,0,7,1,0,12,5,1,444
eder2019,3,1,2,2,1980,38,2,2,0,7,1,0,12,5,0,0
eder2019,4,1,1,2,1949,69,1,2,0,12,1,0,15,7,1,442
eder2019,4,1,2,1,1945,74,2,2,0,13,1,0,17,7,0,0
eder2019,5,1,1,2,1978,40,1,2,0,14,2,2,18,7,1,661
eder2019,5,1,2,1,1979,40,2,2,0,13,1,0,17,7,0,0
eder2019,5,1,3,1,2012,6,3,1,3,0,0,0,0,2,0,0
eder2019,5,1,4,1,2015,3,3,1,19,0,0,0,0,1,0,0
eder2019,5,1,5,2,2017,2,3,1,19,0,0,0,0,1,0,0
eder2019,6,1,1,1,1974,45,1,2,0,7,2,2,9,4,0,0
eder2019,6,1,2,2,1981,38,2,2,0,12,2,0,12,6,1,372
eder2019,6,1,3,1,2011,7,3,1,3,0,0,1,0,2,0,0
eder2019,6,1,4,2,2014,4,3,1,20,0,0,0,0,1,0,0
eder2019,7,1,1,1,1970,49,1,2,0,13,1,0,17,7,1,423
eder2019,8,1,1,1,1969,49,1,2,0,14,1,0,19,7,1,706
eder2019,9,1,1,1,1981,37,1,1,12,0,0,0,11,6,1,1306
eder2019,9,1,2,2,1987,32,2,2,0,12,1,0,15,7,0,0
eder2019,10,1,1,1,1949,69,1,2,0,12,1,0,15,7,1,593
eder2019,11,1,1,1,1981,38,1,2,0,3,1,0,7,3,1,1338
eder2019,11,1,2,2,1991,28,2,2,0,7,2,3,10,4,0,0
eder2019,11,1,3,2,2014,4,3,1,20,0,0,0,0,1,0,0
eder2019,12,1,1,1,1956,63,1,2,0,7,1,0,12,5,0,0
eder2019,12,1,2,2,1952,67,2,2,0,7,1,0,12,5,1,298
eder2019,13,1,1,1,1980,38,1,2,0,10,2,3,10,4,1,455
eder2019,14,1,1,2,1972,47,1,2,0,13,1,0,17,7,1,1174
eder2019,14,1,2,1,1975,44,2,2,0,12,1,0,15,7,0,0
eder2019,15,1,1,1,1950,68,1,2,0,13,1,0,17,7,1,158
eder2019,15,1,2,2,1953,65,2,2,0,13,1,0,17,7,0,0
eder2019,16,1,1,1,1950,69,1,2,0,13,2,3,15,6,1,142
eder2019,16,1,2,2,1924,94,7,2,0,3,1,0,7,3,0,0
eder2019,17,1,1,2,1949,70,1,2,0,12,2,2,14,6,1,219
eder2019,18,1,1,2,1981,38,1,1,13,0,0,3,14,6,1,274
eder2019,18,1,2,1,2002,17,3,1,7,0,0,5,11,4,0,0
eder2019,19,1,1,2,1952,67,1,2,0,13,1,0,17,7,1,471
eder2019,19,1,2,2,1927,91,7,2,0,3,2,1,1,2,0,0
eder2019,19,1,3,1,1943,76,2,2,0,13,2,2,14,6,0,0
eder2019,20,1,1,1,1949,69,1,2,0,13,1,0,17,7,1,316
eder2019,21,1,1,1,1949,69,1,2,0,13,2,1,13,6,1,284
eder2019,21,1,2,2,1946,73,2,2,0,13,2,4,16,6,0,0
