id;nhogar;miembro;aesc_sosten;ISEI_sosten;patrimonio;ios_cod;ios;iosterciles;ioscuartiles
1;1;1;7;18;4;1;-1,03;1;1
2;1;1;7;45;5;1;-0,24;2;2
3;1;1;12;51;4;1;-0,01;2;2
4;1;1;12;46;5;1;0,63;3;4
5;1;1;17;85;5;1;1,66;3;4
6;1;2;17;38;5;1;0,39;2;3
7;1;1;15;59;5;1;0,98;3;4
8;1;1;15;71;5;1;1,32;3;4
9;1;1;17;71;5;1;1,28;3;4
10;1;1;3;45;5;1;-0,39;2;2
11;1;1;3;17;4;1;-1,90;1;1
12;1;2;12;58;4;1;0,77;3;4
13;1;1;15;38;5;1;0,18;2;3
14;1;1;12;45;5;1;0,27;2;3
15;1;1;12;52;4;1;0,58;3;3
16;1;1;9;42;5;1;0,18;2;3
17;1;1;7;63;5;1;0,61;3;3
18;1;1;11;34;5;1;-0,36;2;2
19;1;1;3;45;5;1;-0,39;2;2
20;1;1;7;34;5;1;-0,29;2;2
21;1;1;12;42;1;1;-0,45;2;2
22;1;1;10;38;5;1;-0,36;2;2
23;1;1;7;32;5;1;-0,84;1;1
24;1;1;7;34;4;1;-0,53;1;2
25;1;1;15;48;5;1;0,45;2;3
26;1;1;7;54;5;1;-0,25;2;2
27;1;1;10;34;5;1;-0,47;2;2
28;1;1;15;61;5;1;0,80;3;3
29;1;1;7;45;5;1;-0,24;2;2
30;1;1;0;17;3;1;-2,25;1;1
31;1;1;;;5;0;;;
32;1;1;7;45;5;1;-0,24;2;2
33;1;1;7;36;4;1;-0,47;1;2
34;1;1;17;64;5;1;1,09;3;4
35;1;1;0;33;5;1;-1,57;1;1
36;1;1;13;55;5;1;0,42;2;3
37;1;1;17;49;5;1;0,90;3;4
38;1;1;0;16;5;1;-1,63;1;1
39;1;2;12;41;4;1;-0,09;2;2
40;1;1;3;10;5;1;-1,64;1;1
41;1;1;2;32;3;1;-1,62;1;1
42;1;1;7;36;4;1;-0,47;1;2
43;1;1;12;47;5;1;0,67;3;4
44;1;1;7;31;5;1;-0,87;1;1
45;1;1;7;45;5;1;0,05;2;3
46;1;1;17;63;5;1;1,72;3;4
47;1;2;15;40;4;1;0,02;2;2
48;1;2;7;45;5;1;-0,24;2;2
49;1;1;7;45;5;1;-0,49;1;2
50;1;3;9;68;5;1;0,34;2;3
51;1;1;7;36;1;1;-1,49;1;1
52;1;1;12;32;5;1;-0,31;2;2
53;1;1;12;48;5;1;0,12;2;3
54;1;1;3;23;5;1;-1,52;1;1
55;1;1;7;51;5;1;-0,07;2;2
56;1;1;12;32;5;1;-0,09;2;2
57;1;1;17;64;4;1;1,08;3;4
58;1;1;3;10;5;1;-1,64;1;1
59;1;1;17;66;5;1;1,15;3;4
60;1;1;17;89;5;1;2,03;3;4
61;1;1;15;61;5;1;1,04;3;4
62;1;1;7;45;4;1;-0,71;1;2
63;1;2;12;41;5;1;0,16;2;3
64;1;1;19;77;5;1;1,90;3;4
65;1;1;7;35;4;1;-0,98;1;1
66;1;1;15;47;5;1;0,42;2;3
67;1;1;19;66;5;1;1,36;3;4
68;1;1;19;45;5;1;0,99;3;4
69;1;1;12;44;5;1;0,25;2;3
70;1;1;11;38;5;1;-0,25;2;2
71;1;1;17;89;5;1;2,03;3;4
72;1;1;12;35;5;1;-0,01;2;2
73;1;2;17;71;5;1;1,28;3;4
74;1;1;17;89;5;1;2,53;3;4
75;1;1;0;27;5;1;-1,47;1;1
76;1;1;0;45;4;1;-0,97;1;1
77;1;1;12;37;4;1;-0,39;2;2
78;1;1;7;32;2;1;-1,50;1;1
79;1;1;12;45;5;1;0,60;3;3
80;1;2;12;16;2;1;-1,29;1;1
81;1;1;13;36;4;1;-0,31;2;2
82;1;1;17;71;5;1;1,53;3;4
83;1;2;10;41;5;1;-0,28;2;2
84;1;4;10;43;4;1;-0,44;2;2
85;1;1;12;49;5;1;0,39;2;3
86;1;1;7;50;5;1;-0,10;2;2
87;1;1;0;32;2;1;-2,07;1;1
88;1;1;7;16;4;1;-1,49;1;1
89;1;1;16;53;5;1;0,91;3;4
90;1;1;17;66;5;1;1,15;3;4
91;1;1;7;17;4;1;-1,28;1;1
92;1;1;7;20;4;1;-1,38;1;1
93;1;1;0;17;2;1;-2,65;1;1
94;1;2;7;17;1;1;-2,03;1;1
95;1;2;7;35;1;1;-1,63;1;1
96;1;1;12;53;5;1;0,50;3;3
97;1;1;7;17;5;1;-1,25;1;1
98;1;2;7;64;2;1;-0,07;2;3
99;1;2;12;24;5;1;-0,32;2;2
100;1;2;15;71;5;1;1,32;3;4
101;1;2;3;41;5;1;-1,03;1;1
102;1;1;15;27;4;1;-0,33;2;2
103;1;1;12;16;4;1;-0,95;1;1
104;1;2;0;56;5;1;-0,38;2;2
105;1;1;17;75;5;1;1,39;3;4
106;1;1;12;19;5;1;-0,46;2;2
107;1;1;7;56;5;1;-0,20;2;2
108;1;1;10;56;4;1;0,13;2;3
109;1;1;12;17;5;1;-0,27;2;2
110;1;1;7;24;5;1;-0,61;1;1
111;1;1;6;28;1;1;-1,82;1;1
112;1;1;7;47;4;1;-0,13;2;3
113;1;1;7;35;4;1;-0,77;1;1
114;1;2;7;21;5;1;-1,14;1;1
115;1;1;0;21;5;1;-1,89;1;1
116;1;1;12;27;5;1;-0,44;2;2
117;1;1;0;17;5;1;-1,60;1;1
118;1;1;3;36;4;1;-1,15;1;1
119;1;1;11;32;1;1;-1,19;1;1
120;1;1;16;52;5;1;0,88;3;4
121;1;1;7;38;5;1;-0,17;2;3
122;1;1;19;76;5;1;1,87;3;4
123;1;1;7;20;5;1;-0,95;1;1
124;1;1;7;35;5;1;-0,76;1;1
125;1;1;7;59;5;1;0,16;2;3
126;1;3;15;71;4;1;0,85;3;3
127;1;2;7;28;5;1;-0,72;1;2
128;1;2;11;45;3;1;-0,50;1;2
129;1;1;3;32;4;1;-1,49;1;1
130;1;1;3;19;5;1;-1,39;1;1
131;1;1;8;45;5;1;-0,14;2;2
132;1;1;0;23;3;1;-2,08;1;1
133;1;1;0;34;5;1;-1,27;1;1
134;1;1;;;3;0;;;
135;1;1;17;42;5;1;0,70;3;3
136;1;1;7;47;4;1;-0,13;2;3
137;1;1;12;45;4;1;0,03;2;2
138;1;1;7;48;1;1;-0,81;1;1
139;1;1;7;34;3;1;-1,23;1;1
140;1;1;7;38;3;1;-0,93;1;1
141;1;1;17;63;5;1;1,07;3;4
142;1;1;17;71;5;1;1,28;3;4
143;1;1;15;70;5;1;1,29;3;4
144;1;1;12;54;4;1;0,28;2;3
145;1;1;7;18;5;1;-0,79;1;1
146;1;1;17;71;5;1;1,28;3;4
147;1;1;17;42;4;1;0,82;3;4
148;1;2;3;25;4;1;-1,26;1;1
149;1;1;7;45;5;1;-0,49;1;2
150;1;1;2;36;5;1;-0,79;1;1
151;1;1;12;41;5;1;-0,06;2;2
152;1;2;7;27;5;1;-0,51;1;2
153;1;1;15;61;5;1;1,44;3;4
154;1;1;3;28;4;1;-1,16;1;1
155;1;1;3;26;5;1;-0,99;1;1
156;1;1;7;36;5;1;-0,23;2;2
157;1;1;10;36;5;1;0,10;2;3
158;1;1;12;52;4;1;0,22;2;3
159;1;1;12;55;5;1;0,31;2;3
160;1;1;3;17;4;1;-1,90;1;1
161;1;1;17;72;5;1;2,00;3;4
162;1;2;17;63;5;1;1,72;3;4
163;1;2;7;45;5;1;-0,49;1;2
164;1;1;9;41;4;1;-0,40;2;2
165;1;1;12;61;4;1;0,86;3;4
166;1;2;17;71;5;1;1,53;3;4
167;1;1;17;89;5;1;2,03;3;4
168;1;1;19;76;5;1;2,35;3;4
169;1;2;15;52;5;1;0,78;3;4
170;1;1;6;24;5;1;-1,17;1;1
171;1;1;7;16;5;1;-1,06;1;1
172;1;2;17;66;5;1;1,81;3;4
173;1;1;17;70;3;1;1,00;3;4
174;1;1;9;17;5;1;-1,03;1;1
175;1;1;7;35;5;1;-0,76;1;1
176;1;1;12;61;5;1;0,73;3;3
177;1;1;12;64;5;1;0,81;3;4
178;1;1;7;45;5;1;0,05;2;3
179;1;2;7;36;5;1;-0,49;1;2
180;1;1;7;45;5;1;0,05;2;3
181;1;1;17;88;4;1;1,52;3;4
182;1;1;7;41;5;1;-0,08;2;3
183;1;1;7;26;3;1;-1,02;1;1
184;1;1;15;56;5;1;0,66;3;3
185;1;2;7;29;5;1;-0,69;1;2
186;1;2;7;34;5;1;-0,29;2;2
187;1;1;12;45;5;1;0,04;2;2
188;1;1;7;72;5;1;0,53;3;3
189;1;1;12;16;2;1;-1,29;1;1
190;1;1;7;34;4;1;-0,53;1;2
191;1;1;3;27;5;1;-1,16;1;1
192;1;1;12;50;4;1;0,52;3;3
193;1;1;7;38;5;1;-0,17;2;3
194;1;1;17;63;5;1;1,30;3;4
195;1;2;7;31;5;1;-0,64;1;2
196;1;2;17;63;5;1;1,72;3;4
197;1;1;9;22;5;1;-0,69;1;2
198;1;2;17;57;5;1;1,53;3;4
199;1;1;17;62;5;1;1,27;3;4
200;1;2;13;45;5;1;0,38;2;3
201;1;1;17;85;5;1;1,92;3;4
202;1;1;19;59;5;1;1,39;3;4
203;1;1;4;16;5;1;-1,19;1;1
204;1;1;8;32;5;1;-0,50;1;2
205;1;1;15;37;4;1;0,11;2;3
206;1;1;12;56;5;1;0,95;3;4
207;1;1;15;55;5;1;0,64;3;3
208;1;2;12;65;5;1;1,23;3;4
209;1;1;7;32;5;1;-0,36;2;2
210;1;1;17;59;4;1;1,36;3;4
211;1;1;17;85;5;1;2,41;3;4
212;1;1;9;45;5;1;-0,03;2;2
213;1;2;12;49;5;1;0,73;3;4
214;1;1;10;63;5;1;0,58;3;3
215;1;1;19;89;5;1;1,98;3;4
216;1;2;8;41;4;1;-0,20;2;2
217;1;1;15;59;5;1;0,74;3;3
218;1;1;12;57;5;1;0,98;3;4
219;1;2;19;57;4;1;0,90;3;4
220;1;2;7;32;5;1;-0,61;1;2
221;1;2;3;40;4;1;-0,79;1;1
222;1;1;12;53;5;1;0,50;3;3
223;1;2;17;41;5;1;1,03;3;4
224;1;1;17;85;4;1;2,17;3;4
225;1;1;17;76;5;1;2,13;3;4
226;1;1;0;34;5;1;-1,54;1;1
227;1;1;12;45;5;1;0,04;2;2
228;1;1;7;27;4;1;-1,20;1;1
229;1;2;15;66;5;1;0,93;3;4
230;1;1;17;62;5;1;1,27;3;4
231;1;1;7;70;4;1;0,59;3;3
232;1;1;7;56;5;1;-0,20;2;2
233;1;1;10;44;5;1;0,35;2;3
234;1;1;12;27;5;1;-0,44;2;2
235;1;1;7;32;5;1;-0,84;1;1
236;1;1;;;4;0;;;
237;1;1;19;66;5;1;1,36;3;4
238;1;1;19;76;5;1;1,87;3;4
239;1;1;7;35;5;1;-0,52;1;2
240;1;1;12;48;5;1;0,70;3;4
241;1;2;12;54;5;1;0,88;3;4
242;1;3;3;59;5;1;-0,25;2;2
243;1;2;17;89;5;1;2,53;3;4
244;1;2;15;47;5;1;0,42;2;3
245;1;1;8;32;5;1;-0,74;1;2
246;1;1;12;45;5;1;0,04;2;2
247;1;1;14;38;5;1;0,61;3;3
248;1;2;12;35;5;1;-0,22;2;2
249;1;1;5;29;5;1;-0,90;1;1
250;1;2;3;16;5;1;-1,71;1;1
251;1;1;16;56;5;1;1,00;3;4
252;1;1;15;41;4;1;0,04;2;2
253;1;1;0;18;5;1;-1,72;1;1
254;1;2;7;10;5;1;-1,44;1;1
255;1;1;7;45;2;1;-0,67;1;1
256;1;1;17;57;5;1;0,91;3;4
257;1;1;12;38;5;1;-0,14;2;2
258;1;1;12;61;5;1;0,73;3;3
259;1;1;17;47;4;1;0,60;3;3
260;1;1;12;50;5;1;0,76;3;4
261;1;1;15;61;5;1;1,04;3;4
262;1;1;7;35;5;1;-0,52;1;2
263;1;1;17;59;1;1;0,19;2;3
264;1;1;12;53;4;1;0,04;2;2
265;1;1;17;55;5;1;0,85;3;4
266;1;3;17;85;5;1;1,92;3;4
267;1;1;3;36;5;1;-0,91;1;1
268;1;1;19;86;5;1;2,16;3;4
269;1;1;17;63;5;1;1,30;3;4
270;1;1;7;36;5;1;-0,23;2;2
271;1;1;12;38;5;1;0,08;2;3
272;1;2;17;71;4;1;1,06;3;4
273;1;1;17;41;1;1;0,08;2;3
274;1;1;17;85;5;1;1,66;3;4
275;1;2;12;45;5;1;0,04;2;2
276;1;1;0;16;5;1;-1,78;1;1
277;1;1;12;30;5;1;0,13;2;3
278;1;1;13;45;5;1;0,15;2;3
279;1;1;5;16;5;1;-1,49;1;1
280;1;1;12;44;5;1;0,25;2;3
281;1;1;7;45;5;1;-0,49;1;2
282;1;1;15;42;5;1;0,50;3;3
283;1;1;7;36;4;1;-0,47;1;2
284;1;2;7;28;5;1;-0,72;1;2
285;1;2;15;80;5;1;1,31;3;4
286;1;1;9;45;5;1;0,27;2;3
287;1;1;7;41;3;1;-0,55;1;2
288;1;1;14;66;5;1;1,08;3;4
289;1;1;6;16;3;1;-1,45;1;1
290;1;1;0;27;4;1;-1,53;1;1
